2025-07-17 12:17:20 ERROR c.r.r.s.s.ProcessingToolsController - CanvasMainChange.mainDrawTool is null, cannot bind sliders.
2025-07-17 12:17:20 INFO  c.r.r.s.study.StudyMainController - Console is ON
2025-07-17 12:17:49 INFO  c.r.r.s.s.ProcessingToolsController - Slider moved: oldVal=-0.554016620498615 newVal=-1.10803324099723
2025-07-17 12:17:49 INFO  c.r.r.s.study.ProcessingToolsService - Processing Brightness Slider with value: -1.10803324099723
2025-07-17 12:17:49 INFO  c.r.r.m.I.D.MainDrawTool - frame type CV_16UC1
2025-07-17 12:17:50 INFO  c.r.r.m.I.D.MainDrawTool - Brightness and Contrast -284.7645429362881 1.0
2025-07-17 12:17:50 INFO  c.r.r.m.I.D.CanvasMainChange - cropRect : {0, 0, 838x1024}
2025-07-17 12:17:50 INFO  c.r.r.m.I.D.CanvasMainChange - after cropRect : {0, 0, 838x1024}
2025-07-17 12:17:50 INFO  c.r.r.m.I.D.CanvasMainChange - displayImage : 838.0x1024.0
2025-07-17 12:17:50 INFO  c.r.r.s.s.ProcessingToolsController - Slider moved: oldVal=-1.10803324099723 newVal=-3.32409972299169
2025-07-17 12:17:50 INFO  c.r.r.s.study.ProcessingToolsService - Processing Brightness Slider with value: -3.32409972299169
2025-07-17 12:17:50 INFO  c.r.r.m.I.D.MainDrawTool - frame type CV_16UC1
2025-07-17 12:17:50 INFO  c.r.r.m.I.D.MainDrawTool - Brightness and Contrast -854.2936288088644 1.0
2025-07-17 12:17:50 INFO  c.r.r.m.I.D.CanvasMainChange - cropRect : {0, 0, 838x1024}
2025-07-17 12:17:50 INFO  c.r.r.m.I.D.CanvasMainChange - after cropRect : {0, 0, 838x1024}
2025-07-17 12:17:50 INFO  c.r.r.m.I.D.CanvasMainChange - displayImage : 838.0x1024.0
2025-07-17 12:17:50 INFO  c.r.r.s.s.ProcessingToolsController - Slider moved: oldVal=-3.32409972299169 newVal=-5.54016620498615
2025-07-17 12:17:50 INFO  c.r.r.s.study.ProcessingToolsService - Processing Brightness Slider with value: -5.54016620498615
2025-07-17 12:17:50 INFO  c.r.r.m.I.D.MainDrawTool - frame type CV_16UC1
